;Server;internal_article_number;article_hash;componentname;componentidentifier;manufacturer;manufacturer_description;component_erpreferencenumber;implant
21553;KPRDCSA02;9001037711;c8d14501273708cf98ad8b672e3a9f68fb8d4dd86f3389cf3fb0ac8e5d9f708f;Fraise à boule L:70mm D:3,5mm;GR16039;unk;Unknown;NA;False
21558;KPRDCSA02;9001037682;7a58ccfeb3795a2d6c4cb6e2acc90543ba49103a706a826fc042eec2a3c28acb;Fraise à boule L:70mm D:6,50mm;GR16030;unk;Unknown;NA;False
21559;KPRDCSA02;9001037683;e1f40408589608a218ab73d36db545be2de903b495c40ed7e41baed1264b6d60;Fraise à boule L:70mm D:5,00mm;GR16031;;KOMET MEDICAL;NA;False
21562;KPRDCSA02;9001037692;fbe6329b110bf29a8832cede097c560f18c453b5125adb83ac9613a961414ac3;Fraise à boule L:63mm D:2,70mm;GR16033;;Pouret;NA;False
21565;KPRDCSA02;9001037710;f0f06b83c8fa2c7860d4ddf0aba907ecd0bd4870264ed4ec61114258d5ed4174;Fraise à boule L:70mm D:3,8mm;GR16038;unk;Unknown;NA;False
21566;KPRDCSA02;9001037715;630dfbe43dd45f6b096069e513cd182b18b756f8038bd88a8bad5cb581db5e25;Fraise à boule L:70mm D:2,3mm;GR16040;;Pouret;NA;False
21568;KPRDCSA02;9001037681;071fdfdcb9a7b0ab1b197eea3ad50cbd7e6cf4a1178117b6ea98b86270a9f5c8;Fraise à boule L:70mm D:7,00mm;GR16029;;KOMET MEDICAL;NA;False
21569;KPRDCSA02;9001037688;6c3cbc97e1f08aa9420c899568a525b84f339345047ecb8c6c7487f221689a0b;Fraise à boule L:63mm D:4,00mm;GR16032;;Pouret;NA;False
21572;KPRDCSA02;9001037664;a9a258c84c54a1606323d0284fb85b8adbc2328a668ddc0b855e5225c74718b5;connecteur vissable pour câble lumière froide L:25mm diam:10mm;GR16019;;black & black;NA;False
21573;KPRDCSA02;9001037665;d1d763d6c6a1321660c42869093f986f8eea9c8ebed75604ee53e05fa9dee2d9;connecteur vissable pour câble lumière froide L:12mm diam:9mm;GR16020;NA;richard wolf;NA;False
21577;KPRDCSA02;9001037613;0a5d916187dbb928a149393bb5b3186d1c5128a61a3cf8897f970f28bdbcb0dd;Bac en métal 250*480*100mm;GR16012;;unknown;NA;False
21580;KPRDCSA02;9001018072;ff31b38249ea35d4d128c8c030768c66bb958049611425ecc793ce3094c333e9;bouchon d'étanchéité gris (ou noir) 42mm;GR12597;;olympus;;False
21584;KPRDCSA02;9001018367;4f2d4c73ac0ff1a6072185631b55568937b577d84ea80637f70720739dab59ce;container autoclavable 160*70*25mm;GR9502;;unknown;NA;False
21586;KPRDCSA02;9001013261;daccfbb7bc3f305816621e7660476429b987b303796608dea0efee8f3d80d4ea;canule irrigation coudée L:35mm D:0,6mm (23G);GR10690;;unknown;;False
21587;KPRDCSA02;9001014102;1e751b9c1b5175de1f61c7464ae925eaaf3c33528f0b95e55fd7311e35bb7563;stylet double L:140mm pointu/pointu;GR11572;;unknown;;False
21588;KPRDCSA02;9001033824;445c195e5fb9c55816c63ca9d9942e93e2b082256e9541ac69cb63b2d0eddd2a;sonde boutonnée L:130mm;GR15419;;unknown;;False
21595;KPRDCSA02;9001037607;2b8159b0b674e95956e8f2ec8cda1c5e2be997728b3060e1a1fefcc3df12d051;embout vissable (sur pièce démontable);GR16011;;Wolf;NA;False
21596;KPRDCSA02;9001018841;6616357ba3a2886d625a2f62d1bbbf3bd063b0103355a63737338ab208d20027;bouchon d'étanchéité brun/orange L:15mm;GR9904;;wolf;NA;False
21597;KPRDCSA02;9001033825;94d483d59d12c5c848e1c046159d483f0f12c72e1c5a344d11df1215b5b569ee;Mandrin L:105mm pour S1-1460;GR15420;;unknown;NA;False
21598;KPRDCSA02;9001019061;4d80b6b4647ca13f6ddbd04aa2c8ce95cf358f7376b8c2ddc7add78706778cf6;stylet boutonné double 00/000;GR12831;;heiss;NA;False
