;Server;internal_article_number;article_hash;componentname;componentidentifier;manufacturer;manufacturer_description;component_erpreferencenumber;implant
49652;KPRDCSA03;9026002066;acfa75cce09e310d3fa01f52013cbaef8fd388a59408e12c27fb46e5144bafc6;pince Leriche courbe L:140mm sans griffes;IR0043;;Indifférent;;False
49675;KPRDCSA03;9026002068;1251ddda4109b53dd92c55953ff316c53d25d32b714f6e18a385e74145727a90;pince Kocher courbe L:180mm 2*1 griffes;IR0049;;Indifférent;;False
49713;KPRDCSA03;9026002054;84f5e3923189782840bc6185e3d00d466be317e831f7d3ba92486dcbd892b724;porte aiguille Mayo L:160mm;IR0029;;Indifférent;;False
49722;KPRDCSA03;9026002078;3ace97423cca3c2ca9a32a8deacefa5fbfdf644bde3b3667435c6a0254fe6166;porte aiguille Mayo L:210mm;IR0062;;Indifférent;;False
49763;KPRDCSA03;9026002067;911efa6a136c9110fb50724c6a850e212957c94ebe8072dc8458078caaa6510d;pince Leriche droite L:140mm sans griffes;IR0045;;Indifférent;;False
49778;KPRDCSA03;9026002049;a0bacd33e012cf81b1951e105fbc82cfcbee00a7a757392d73921bc078790999;pince Pean droite L:160mm sans griffes;IR0023;;Indifférent;;False
49779;KPRDCSA03;9026002050;12710174a6c48e8e91a23b5ec0c1b138d1e22773c6a19ee9c4ae069472af7b7f;pince Kocher droite L:140mm 2*1 griffes;IR0025;;Indifférent;;False
49865;KPRDCSA03;9026002036;ec90ad38eb4d7a3a1d0f26efa9ca486386b6607d3f974ab7b4821502fa888f79;pince dissection Adson L:120mm 2*1 griffes;IR0005;;Indifférent;;False
49926;KPRDCSA03;9026037565;b10f708fc76c00a6be5bcbaa568846b825ed82170eeb5335e2bb1a5467944e8e;pince dissection anatomique L:150mm sans griffes;IR0076;;Indifférent;NA;False
49989;KPRDCSA03;9026002058;8b093ef40c162affcbe882f635265f3194c7b1f3ae66346d54456f66ca22712f;écarteur Farabeuf L:120mm;IR0033;;Indifférent;;False
50126;KPRDCSA03;9026002071;97139b48b567209fda4ad0329ba30c439293a9c8c440719051ce4cd3f5163bab;manche bistouri n°3L inox;IR0052;;Indifférent;;False
50127;KPRDCSA03;9026002072;13b79dd11225a7e981a8009b2afb673da82728b26b4e40312f6c5391ec596bfa;manche bistouri n°4L inox;IR0053;;Indifférent;;False
50133;KPRDCSA03;9026002060;727f9fc112f88faf0fbcb9891580f1d67f40ae44bc6c04a062810f28ae71edda;pince Leriche courbe L:150mm sans griffes;IR0035;;Indifférent;;False
50147;KPRDCSA03;9026002042;87df56f462a745805c502aef0369ea2c32879f31e60a71dec447b90513992cb7;pince dissection droite L:180mm 2*1 griffes;IR0013;;Indifférent;;False
50156;KPRDCSA03;9026013998;e260e42165e07a32abd4960721596449bb6f760b93a2aeefcb4ce834515e2414;bistouri électrique gris prise avec 3 pins;IR0066;;Indifférent;NA;False
52684;KPRDCSA03;9026008135;b2e16ab2a2b36caafc1795a6429fdfc79c890a50d573719ff4400a0f6c9cee0a;pince Pean droite L:200mm sans griffes;IR0055;;Indifférent;;False
53753;KPRDCSA03;9026018500;4f9110a3af66c1ef82be835582235dd625344da9dd48c638f66a05ebb4b1e024;pince dissection anatomique L:120mm sans griffes;IR0006;;Unknown;NA;False
54084;KPRDCSA03;9026031873;45d8cd2fef0977b294225e344a9c4da79c5171170ccaa866927344cdcc9871ce;pince Leriche droite L:140mm 2*1 griffes;IR0046;;Indifférent;NA;False
54085;KPRDCSA03;9026002062;d54beedddf3f26d3ae8b61c337c87cd2a6de68e03894d2b90acb48064e22c056;pince Leriche droite L:150mm 2*1 griffes;IR0038;;Indifférent;;False
55215;KPRDCSA03;9026032886;0dbc3f10c650ad8512927137f1c8fbec7f5fd58d0d927cbebacce0a441663dc5;bassin reniforme métallique;IR0072;;Unknown;NA;False
64117;KPRDCSA03;9026008129;871f3cf0933f24b096a2a42fbb2a1ed138aabb2ce7ba2add9012bb1490b5d7bf;pince Kocher courbe L:140mm 2*1 griffes;IR0024;;Indifférent;;False
64137;KPRDCSA03;9026008128;7b86de4bccf814e3c02e75bc1d888ce8874decb6d86a398c0d6b2f9f1bf0cbed;pince Pean courbe L:140mm sans griffes;IR0020;;Indifférent;;False
64342;KPRDCSA03;9026011501;1c1f53e279154f9a1f03f8afff7b189b14590fa488ea3d9b3ff7d700e8698edf;Spéculum à 3 branches avec vis;IR0067;;Indifférent;;False
